GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
products,ru.netology.domain,Smartphone,7,12,0,0,4,4,2,2,2,2
products,ru.netology.domain,Book,4,15,0,0,2,6,1,3,1,3
products,ru.netology.domain,Product,18,18,0,0,8,8,5,3,5,3
products,ru.netology.repository,ProductRepository,41,41,4,0,9,10,3,3,1,3
products,ru.netology.manager,ProductManager,9,103,1,15,3,29,3,11,2,4
